                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7008,                 1.4202,                  1.203,                0.78678,                0.65162,                0.69545,                0.44076,                 1.5547,                 1.0362,                 1.1874,             0.00033194,             0.00033194,             0.00033194
                      2,                 1.6489,                 1.0831,                  1.197,                0.79172,                0.64617,                  0.708,                0.43255,                 1.5652,                0.99869,                 1.1986,             0.00066198,             0.00066198,             0.00066198
                      3,                 1.6834,                 1.0312,                 1.2081,                0.81522,                0.66646,                0.73078,                0.46089,                  1.548,                0.91256,                 1.1944,             0.00098872,             0.00098872,             0.00098872
                      4,                 1.6541,                0.99452,                 1.2061,                0.78806,                0.65861,                0.72045,                0.45361,                 1.5324,                0.87812,                 1.1804,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.6295,                0.95366,                 1.1926,                0.82806,                0.67274,                 0.7467,                0.48075,                  1.512,                0.85328,                  1.181,             0.00098515,             0.00098515,             0.00098515
                      6,                 1.6084,                0.94239,                 1.1781,                0.79799,                0.69424,                 0.7556,                0.48402,                 1.4804,                0.85599,                 1.1546,              0.0009802,              0.0009802,              0.0009802
                      7,                 1.5806,                0.93309,                 1.1758,                 0.8356,                0.67019,                 0.7505,                0.46253,                 1.5025,                0.84731,                 1.1622,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.5965,                0.90014,                 1.1712,                0.82186,                0.73636,                0.77725,                0.49921,                 1.4423,                0.83222,                  1.138,              0.0009703,              0.0009703,              0.0009703
                      9,                  1.536,                0.89949,                 1.1611,                0.80867,                 0.7223,                0.76408,                0.49987,                 1.4253,                0.81783,                 1.1424,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.5633,                0.86561,                 1.1656,                0.78203,                0.70997,                0.74082,                0.48785,                 1.4247,                0.83487,                 1.1343,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.5385,                0.87295,                 1.1532,                0.80824,                0.73047,                0.77166,                0.50026,                 1.4114,                0.79632,                 1.1298,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.5375,                0.84533,                 1.1503,                0.83337,                0.70916,                0.78271,                0.51814,                 1.3778,                0.77549,                   1.11,              0.0009505,              0.0009505,              0.0009505
                     13,                 1.4966,                0.83741,                 1.1412,                0.82246,                0.70531,                0.77406,                0.50925,                 1.4181,                0.78047,                 1.1316,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.4909,                0.81268,                 1.1306,                0.82719,                0.70347,                0.77272,                0.50347,                 1.3951,                0.78193,                 1.1234,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.4868,                0.81315,                 1.1204,                0.83224,                0.71787,                0.78423,                 0.5071,                 1.3923,                0.78109,                 1.1203,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.4761,                0.80762,                 1.1278,                0.84571,                0.71365,                0.79237,                0.51421,                 1.3824,                0.78139,                 1.1134,              0.0009307,              0.0009307,              0.0009307
                     17,                 1.4485,                0.78614,                  1.118,                0.88055,                0.71148,                0.78459,                0.51909,                 1.3875,                0.74165,                 1.1066,             0.00092575,             0.00092575,             0.00092575
                     18,                 1.4503,                0.78856,                 1.1115,                0.84111,                 0.7236,                0.78891,                0.51921,                 1.3817,                0.75871,                 1.1158,              0.0009208,              0.0009208,              0.0009208
                     19,                 1.4222,                0.76933,                 1.1003,                0.86475,                0.70622,                0.79366,                0.52407,                  1.379,                0.74619,                 1.1137,             0.00091585,             0.00091585,             0.00091585
                     20,                 1.4312,                0.78241,                  1.111,                 0.8212,                0.72415,                0.78459,                0.52052,                 1.3964,                0.76275,                 1.1205,              0.0009109,              0.0009109,              0.0009109
                     21,                 1.4191,                0.76377,                 1.1046,                0.86192,                0.72017,                0.78992,                0.53295,                 1.3624,                0.75339,                 1.1083,             0.00090595,             0.00090595,             0.00090595
                     22,                 1.4486,                0.76887,                 1.1089,                 0.8144,                0.74849,                0.80018,                0.53052,                  1.361,                 0.7436,                 1.1067,               0.000901,               0.000901,               0.000901
