                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0203,                 2.3007,                 1.3414,                0.70208,                0.31343,                0.57058,                0.37356,                 1.0854,                 2.4935,                 1.4208,              0.0005467,              0.0005467,              0.0005467
                      2,                 1.0831,                 1.6946,                 1.3745,                0.62072,                0.61424,                0.66095,                0.40318,                 1.2349,                 2.1187,                 1.5096,               0.001066,               0.001066,               0.001066
                      3,                 1.1588,                 1.6766,                 1.4508,                0.66099,                0.68113,                0.66019,                0.40937,                 1.2571,                 2.0933,                 1.6527,              0.0015486,              0.0015486,              0.0015486
                      4,                 1.1494,                 1.5361,                  1.414,                0.67816,                0.66827,                0.69025,                0.44847,                 1.2556,                 1.8241,                 1.5562,               0.001502,               0.001502,               0.001502
                      5,                 1.1575,                 1.5444,                 1.4349,                 0.8207,                0.61771,                0.72904,                0.49559,                 1.1374,                 1.6571,                 1.4782,               0.001502,               0.001502,               0.001502
                      6,                 1.1326,                 1.4421,                 1.4072,                0.80456,                0.66462,                0.75541,                0.48772,                 1.2053,                 1.6269,                 1.5556,               0.001447,               0.001447,               0.001447
                      7,                 1.0969,                 1.3479,                 1.3754,                0.82155,                0.69302,                0.78295,                0.52382,                 1.1415,                 1.4506,                 1.4757,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.0873,                 1.4101,                 1.4144,                0.86943,                0.67096,                 0.7745,                0.54355,                 1.0714,                 1.4895,                 1.4749,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.0723,                 1.3501,                 1.3866,                0.76873,                0.67289,                0.73563,                0.50828,                 1.1494,                 1.5001,                 1.4881,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.0616,                 1.3259,                  1.376,                0.83181,                0.63326,                0.74966,                0.52527,                 1.1254,                 1.4144,                 1.4781,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.0446,                 1.2642,                 1.3355,                0.82323,                0.70108,                0.77051,                0.52718,                 1.1281,                 1.3754,                 1.4748,              0.0011719,              0.0011719,              0.0011719
                     12,                  1.037,                 1.2079,                 1.3513,                0.81358,                0.71483,                0.79543,                0.53699,                 1.1562,                 1.3084,                 1.4761,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.0188,                 1.1839,                 1.3325,                0.83145,                0.68535,                0.78015,                0.54492,                 1.0905,                  1.281,                 1.4452,              0.0010619,              0.0010619,              0.0010619
                     14,                 0.9526,                 1.1302,                 1.2898,                0.80133,                0.68869,                 0.7636,                0.54337,                 1.0264,                 1.2776,                 1.4076,              0.0010069,              0.0010069,              0.0010069
